guid:ID(Process),pid:int,commandLine,user,name,imagePath
00000000-0000-0000-0000-000000000000,,,-,-,-
08846768-6902-68ce-e00f-000000000c00,,,DESKTOP-2I19OQ1\test,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
08846768-6d14-68ce-8a15-000000000c00,13152,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -ExecutionPolicy Bypass -Command ""Import-Module \""C:\AtomicRedTeam\invoke-atomicredteam\Invoke-AtomicRedTeam.psd1\"" -Force; Invoke-AtomicTest T1001.002"" ",DESKTOP-2I19OQ1\test,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
08846768-6d14-68ce-8c15-000000000c00,10444,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -ExecutionPolicy Bypass -Command ""Import-Module \""C:\AtomicRedTeam\invoke-atomicredteam\Invoke-AtomicRedTeam.psd1\"" -Force; Invoke-AtomicTest T1003"" ",DESKTOP-2I19OQ1\test,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
08846768-6d14-68ce-8e15-000000000c00,8104,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -ExecutionPolicy Bypass -Command ""Import-Module \""C:\AtomicRedTeam\invoke-atomicredteam\Invoke-AtomicRedTeam.psd1\"" -Force; Invoke-AtomicTest T1003.001"" ",DESKTOP-2I19OQ1\test,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
08846768-6d14-68ce-8f15-000000000c00,11480,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -ExecutionPolicy Bypass -Command ""Import-Module \""C:\AtomicRedTeam\invoke-atomicredteam\Invoke-AtomicRedTeam.psd1\"" -Force; Invoke-AtomicTest T1003.002"" ",DESKTOP-2I19OQ1\test,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
08846768-6d14-68ce-9215-000000000c00,12440,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -ExecutionPolicy Bypass -Command ""Import-Module \""C:\AtomicRedTeam\invoke-atomicredteam\Invoke-AtomicRedTeam.psd1\"" -Force; Invoke-AtomicTest T1003.003"" ",DESKTOP-2I19OQ1\test,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
08846768-6d14-68ce-9315-000000000c00,12912,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -ExecutionPolicy Bypass -Command ""Import-Module \""C:\AtomicRedTeam\invoke-atomicredteam\Invoke-AtomicRedTeam.psd1\"" -Force; Invoke-AtomicTest T1003.004"" ",DESKTOP-2I19OQ1\test,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
08846768-6d14-68ce-9615-000000000c00,3660,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -ExecutionPolicy Bypass -Command ""Import-Module \""C:\AtomicRedTeam\invoke-atomicredteam\Invoke-AtomicRedTeam.psd1\"" -Force; Invoke-AtomicTest T1003.005"" ",DESKTOP-2I19OQ1\test,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
08846768-6d14-68ce-9815-000000000c00,2772,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -ExecutionPolicy Bypass -Command ""Import-Module \""C:\AtomicRedTeam\invoke-atomicredteam\Invoke-AtomicRedTeam.psd1\"" -Force; Invoke-AtomicTest T1003.006"" ",DESKTOP-2I19OQ1\test,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
08846768-6d14-68ce-9a15-000000000c00,9940,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -ExecutionPolicy Bypass -Command ""Import-Module \""C:\AtomicRedTeam\invoke-atomicredteam\Invoke-AtomicRedTeam.psd1\"" -Force; Invoke-AtomicTest T1003.007"" ",DESKTOP-2I19OQ1\test,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
08846768-6d14-68ce-9c15-000000000c00,13516,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -ExecutionPolicy Bypass -Command ""Import-Module \""C:\AtomicRedTeam\invoke-atomicredteam\Invoke-AtomicRedTeam.psd1\"" -Force; Invoke-AtomicTest T1003.008"" ",DESKTOP-2I19OQ1\test,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
08846768-6d16-68ce-9e15-000000000c00,13100,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d16-68ce-9f15-000000000c00,12780,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d16-68ce-a015-000000000c00,13292,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d16-68ce-a115-000000000c00,1080,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d16-68ce-a215-000000000c00,10636,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d16-68ce-a315-000000000c00,8172,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d16-68ce-a415-000000000c00,10368,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d16-68ce-a515-000000000c00,10984,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d16-68ce-a615-000000000c00,4132,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d16-68ce-a715-000000000c00,6832,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d17-68ce-a815-000000000c00,4832,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d17-68ce-a915-000000000c00,12576,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d17-68ce-aa15-000000000c00,11428,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d17-68ce-ab15-000000000c00,268,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d17-68ce-ac15-000000000c00,10420,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d17-68ce-ad15-000000000c00,7468,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d17-68ce-ae15-000000000c00,12588,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d17-68ce-af15-000000000c00,13604,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d17-68ce-b015-000000000c00,620,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d17-68ce-b115-000000000c00,3304,"""C:\Windows\system32\HOSTNAME.EXE""",DESKTOP-2I19OQ1\test,HOSTNAME.EXE,C:\Windows\System32\HOSTNAME.EXE
08846768-6d17-68ce-b215-000000000c00,6328,"""C:\Windows\system32\whoami.exe""",DESKTOP-2I19OQ1\test,whoami.exe,C:\Windows\System32\whoami.exe
